"Tipo","Preco","Area","Quartos","Banheiros","Endereco","Estado","Cidade","lat","long"
"AP",1200,70,2,1,"Rua dos Banqueiros, s/n - Sapopemba, São Paulo - SP, Brazil","SP","sn  Sapopemba São Paulo",-23.5862706,-46.5232678
"AP",2800,80,3,2,"Rua Tonelero, 194 - Copacabana, Rio de Janeiro - RJ, Brazil","RJ","Rio de Janeiro",-22.9657457,-43.183409
"AP",1100,45,2,1,"Avenida Guilhermina Cunha Coelho, 160 - City Ribeirão, Ribeirão Preto - SP, Brazil","SP","Ribeirão Preto",-21.2148006,-47.7873824
"AP",2500,105,3,3,"Jardim Guanabara, Campinas - SP, Brazil","SP","Campinas",-22.8930847,-47.0639837
"AP",1400,43,1,1,"Rua José Antônio Coelho, 300 - Vila Mariana, São Paulo - SP, Brazil","SP","São Paulo",-23.580038,-46.6428664
"AP",1900,62,2,1,"Rua Monsenhor Veras, 237 - Santana, Porto Alegre - RS, Brazil","RS","Porto Alegre",-30.0503865,-51.2025534
"AP",2300,64,2,2,"Vila Paulista, Guarulhos - SP, Brazil","SP","Guarulhos",-23.4708405,-46.425266962213
"AP",1500,51,2,1,"Rua do Trabalho, 404 - Vila Matilde, São Paulo - SP, Brazil","SP","São Paulo",-23.5421116,-46.519753
"AP",2000,40,1,1,"Rua Brigadeiro Galvão - Barra Funda, São Paulo - SP, Brazil","SP","São Paulo",NA,NA
"AP",1400,36,1,1,"Mirandópolis, São Paulo - SP, Brazil","SP","São Paulo",-21.1328313,-51.1029422
"AP",1700,85,2,2,"Vila Tupi, Praia Grande - SP, Brazil","SP","Praia Grande",-24.02429305,-46.4573973137262
"AP",4445,100,2,2,"Rua 1201 - Centro, Balneário Camboriú - SC, Brazil","SC","Balneário Camboriú",-26.9791933,-48.6401245
"AP",750,75,2,1,"Avenida São Leopoldo, 345 - São Leopoldo, Caxias do Sul - RS, Brazil","RS","Caxias do Sul",-29.1864434,-51.1846133
"AP",1300,65,1,1,"Rua São Caetano, 53 - Luz, São Paulo - SP, Brazil","SP","São Paulo",-23.53444586,-46.6324979
"AP",1900,62,2,1,"Praia de Itaparica, Vila Velha - ES, Brazil","ES","Vila Velha",-20.3709523,-40.3022483672397
"AP",760,65,2,1,"Industrial São Luiz, Contagem - MG, Brazil","MG","Contagem",NA,NA
"AP",1290,45,1,1,"Avenida Gomes Freire, 740 - Centro, Rio de Janeiro - RJ, Brazil","RJ","Rio de Janeiro",-22.9070211,-43.1854641
"AP",1950,66,3,2,"Rua Quinze de Novembro, 1330 - Centro, Barueri - SP, Brazil","SP","Barueri",-23.5014363,-46.8897117
"AP",981,48,2,1,"Rodovia Antônio Machado Sant'Anna, 215 - Bonfim Paulista, Ribeirão Preto - SP, Brazil","SP","Ribeirão Preto",-21.315266,-47.8242159
"AP",1000,47,2,1,"Conjunto Residencial Galo Branco, São José dos Campos - SP, Brazil","SP","São José dos Campos",NA,NA
"AP",1600,72,2,2,"Menino Deus, Porto Alegre - RS, Brazil","RS","Porto Alegre",-29.8530665,-50.5167176
"AP",1300,44,2,1,"Avenida Ezelino da Cunha Glória, 630 - Jardim Maricá, Mogi das Cruzes - SP, Brazil","SP","Mogi das Cruzes",-23.4969697,-46.1819787
"AP",3800,72,2,3,"Jardim Paulista, São Paulo - SP, Brazil","SP","São Paulo",-23.5674355,-46.6636917206251
"AP",2750,109,2,3,"Avenida Jacutinga - Indianópolis, São Paulo - SP, Brazil","SP","São Paulo",-23.6003317,-46.6690478
"AP",730,45,2,1,"Bonsucesso, Guarulhos - SP, Brazil","SP","Guarulhos",-23.4074483,-46.4099264
"AP",1100,67,2,2,"Rua Aurélio Francisco Gomes, 67 - Parque Flamboyant, Campos dos Goytacazes - RJ, Brazil","RJ","Campos dos Goytacazes",-21.7720219,-41.3052611
"AP",1850,69,2,2,"Vila Monte Alegre, Ribeirão Preto - SP, Brazil","SP","Ribeirão Preto",-21.1549551,-47.8380709
"AP",3000,52,1,1,"Rua Quatá, 835 - Vila Olímpia, São Paulo - SP, Brazil","SP","São Paulo",-23.5974717,-46.6795636
"AP",1200,32,1,1,"Avenida Professor Luiz Ignácio Anhaia Mello, 4659 - Vila Ema, São Paulo - SP, Brazil","SP","São Paulo",NA,NA
"AP",2200,85,2,2,"Rua José Hemetério Andrade, 180 - Buritis, Belo Horizonte - MG, Brazil","MG","Belo Horizonte",NA,NA
"AP",1400,70,2,1,"Santa Mônica, Uberlândia - MG, Brazil","MG","Uberlândia",-18.9090701,-48.2355051167523
